Date,Dividend
1987-03-10 00:00:00-05:00,0.005
1988-03-14 00:00:00-05:00,0.003611
1989-03-13 00:00:00-05:00,0.018889
1990-03-12 00:00:00-05:00,0.006389
1991-03-11 00:00:00-05:00,0.007917
1992-03-03 00:00:00-05:00,0.009167
1993-03-03 00:00:00-05:00,0.011667
1994-03-07 00:00:00-05:00,0.056667
1995-03-06 00:00:00-05:00,0.066667
1996-03-06 00:00:00-05:00,0.083333
1997-03-05 00:00:00-05:00,0.1
1998-02-04 00:00:00-05:00,0.12
1999-02-03 00:00:00-05:00,0.146667
2000-02-02 00:00:00-05:00,0.046667
2001-01-31 00:00:00-05:00,0.055
2002-02-13 00:00:00-05:00,0.0625
2003-02-05 00:00:00-05:00,0.0675
2004-02-06 00:00:00-05:00,0.29
2005-02-04 00:00:00-05:00,0.32
2006-02-03 00:00:00-05:00,0.0875
2007-02-02 00:00:00-05:00,0.0975
2008-02-04 00:00:00-05:00,0.115
2009-02-02 00:00:00-05:00,0.1175
2010-02-08 00:00:00-05:00,0.12
2010-11-09 00:00:00-05:00,0.49
2011-11-08 00:00:00-05:00,0.54
2012-11-07 00:00:00-05:00,0.64
2013-11-06 00:00:00-05:00,0.77
2014-11-05 00:00:00-05:00,1.7
2015-11-04 00:00:00-05:00,0.2625
2016-11-02 00:00:00-04:00,1.33
2017-11-09 00:00:00-05:00,0.405
2018-11-08 00:00:00-05:00,2.05
2019-11-07 00:00:00-05:00,0.6375
2020-11-05 00:00:00-05:00,3.51
2021-02-11 00:00:00-05:00,0.75
2021-05-13 00:00:00-04:00,0.75
2021-08-12 00:00:00-04:00,0.2375
2021-11-12 00:00:00-05:00,0.95
2022-02-14 00:00:00-05:00,0.95
2022-05-13 00:00:00-04:00,0.95
2022-08-12 00:00:00-04:00,1.15
2022-11-14 00:00:00-05:00,1.15
2023-02-14 00:00:00-05:00,1.15
2023-05-12 00:00:00-04:00,0.2875
2023-08-14 00:00:00-04:00,0.3375
2023-11-14 00:00:00-05:00,1.35
2024-02-14 00:00:00-05:00,1.35
2024-05-14 00:00:00-04:00,0.3375
2024-08-15 00:00:00-04:00,1.56
2024-11-15 00:00:00-05:00,0.39
