Date,Dividend
1984-03-26 00:00:00-05:00,0.179865
1984-06-25 00:00:00-04:00,0.179865
1984-09-24 00:00:00-04:00,0.179865
1984-12-21 00:00:00-05:00,0.179865
1985-03-25 00:00:00-05:00,0.191106
1985-06-24 00:00:00-04:00,0.019111
1985-09-24 00:00:00-04:00,0.191106
1985-12-24 00:00:00-05:00,0.191106
1986-03-24 00:00:00-05:00,0.202348
1986-06-24 00:00:00-04:00,0.202348
1986-09-24 00:00:00-04:00,0.202348
1986-12-24 00:00:00-05:00,0.202348
1987-03-25 00:00:00-05:00,0.215837
1987-06-24 00:00:00-04:00,0.215837
1987-09-24 00:00:00-04:00,0.215837
1987-12-24 00:00:00-05:00,0.215837
1988-03-25 00:00:00-05:00,0.229327
1988-06-24 00:00:00-04:00,0.229327
1988-09-26 00:00:00-04:00,0.229327
1988-12-23 00:00:00-05:00,0.229327
1989-04-04 00:00:00-04:00,0.247314
1989-07-03 00:00:00-04:00,0.247314
1989-10-03 00:00:00-04:00,0.247314
1990-01-04 00:00:00-05:00,0.247314
1990-04-04 00:00:00-04:00,0.2653
1990-07-03 00:00:00-04:00,0.2653
1990-10-03 00:00:00-04:00,0.2653
1991-01-04 00:00:00-05:00,0.2653
1991-04-04 00:00:00-05:00,0.283287
1991-07-03 00:00:00-04:00,0.283287
1991-10-04 00:00:00-04:00,0.283287
1992-01-06 00:00:00-05:00,0.283287
1992-04-06 00:00:00-04:00,0.29228
1992-07-06 00:00:00-04:00,0.29228
1992-10-05 00:00:00-04:00,0.29228
1993-01-05 00:00:00-05:00,0.29228
1993-04-02 00:00:00-05:00,0.301273
1993-07-02 00:00:00-04:00,0.301273
1994-01-04 00:00:00-05:00,0.301273
1994-04-05 00:00:00-04:00,0.310266
1994-07-05 00:00:00-04:00,0.310266
1994-10-04 00:00:00-04:00,0.310266
1995-01-04 00:00:00-05:00,0.310266
1995-04-04 00:00:00-04:00,0.314763
1995-07-06 00:00:00-04:00,0.314763
1995-10-05 00:00:00-04:00,0.314763
1996-01-08 00:00:00-05:00,0.314763
1996-04-08 00:00:00-04:00,0.323756
1996-07-08 00:00:00-04:00,0.323756
1996-10-08 00:00:00-04:00,0.323756
1997-01-08 00:00:00-05:00,0.323756
1997-04-08 00:00:00-04:00,0.332749
1997-10-08 00:00:00-04:00,0.346239
1998-01-07 00:00:00-05:00,0.346239
1998-04-07 00:00:00-04:00,0.346239
1998-07-08 00:00:00-04:00,0.346239
1998-10-07 00:00:00-04:00,0.346239
1999-01-06 00:00:00-05:00,0.346239
1999-04-07 00:00:00-04:00,0.346239
1999-07-07 00:00:00-04:00,0.347139
1999-10-06 00:00:00-04:00,0.346239
2000-01-06 00:00:00-05:00,0.346239
2000-04-06 00:00:00-04:00,0.346239
2000-07-03 00:00:00-04:00,0.346239
2000-07-06 00:00:00-04:00,0.042268
2000-10-05 00:00:00-04:00,0.346239
2001-01-08 00:00:00-05:00,0.346239
2001-04-06 00:00:00-04:00,0.346239
2001-07-06 00:00:00-04:00,0.346239
2001-10-05 00:00:00-04:00,0.346239
2002-01-08 00:00:00-05:00,0.346239
2002-04-08 00:00:00-04:00,0.346239
2002-07-08 00:00:00-04:00,0.346239
2002-10-08 00:00:00-04:00,0.346239
2003-01-08 00:00:00-05:00,0.346239
2003-04-08 00:00:00-04:00,0.346239
2003-07-08 00:00:00-04:00,0.346239
2003-10-08 00:00:00-04:00,0.346239
2004-01-07 00:00:00-05:00,0.346239
2004-04-06 00:00:00-04:00,0.346239
2004-07-07 00:00:00-04:00,0.346239
2004-10-06 00:00:00-04:00,0.346239
2005-01-06 00:00:00-05:00,0.346239
2005-04-06 00:00:00-04:00,0.364226
2005-07-06 00:00:00-04:00,0.364226
2005-10-05 00:00:00-04:00,0.364226
2006-01-06 00:00:00-05:00,0.364226
2006-04-06 00:00:00-04:00,0.364226
2006-07-06 00:00:00-04:00,0.364226
2006-10-05 00:00:00-04:00,0.364226
2007-01-08 00:00:00-05:00,0.378086
2007-04-05 00:00:00-04:00,0.378086
2007-07-06 00:00:00-04:00,0.378086
2007-10-05 00:00:00-04:00,0.401425
2008-01-08 00:00:00-05:00,0.401425
2008-04-08 00:00:00-04:00,0.403292
2008-07-08 00:00:00-04:00,0.403292
2008-10-08 00:00:00-04:00,0.431429
2009-01-07 00:00:00-05:00,0.431429
2009-04-07 00:00:00-04:00,0.431429
2009-07-08 00:00:00-04:00,0.431429
2009-10-07 00:00:00-04:00,0.445497
2010-01-06 00:00:00-05:00,0.445497
2010-04-07 00:00:00-04:00,0.445497
2010-07-07 00:00:00-04:00,0.475
2010-10-06 00:00:00-04:00,0.488
2011-01-06 00:00:00-05:00,0.488
2011-04-06 00:00:00-04:00,0.488
2011-07-06 00:00:00-04:00,0.488
2011-10-05 00:00:00-04:00,0.5
2012-01-06 00:00:00-05:00,0.5
2012-04-05 00:00:00-04:00,0.5
2012-07-06 00:00:00-04:00,0.5
2012-10-05 00:00:00-04:00,0.515
2013-01-08 00:00:00-05:00,0.515
2013-04-08 00:00:00-04:00,0.515
2013-07-08 00:00:00-04:00,0.515
2013-10-08 00:00:00-04:00,0.53
2014-01-08 00:00:00-05:00,0.53
2014-04-08 00:00:00-04:00,0.53
2014-07-08 00:00:00-04:00,0.53
2014-10-08 00:00:00-04:00,0.55
2015-01-07 00:00:00-05:00,0.55
2015-04-08 00:00:00-04:00,0.55
2015-07-08 00:00:00-04:00,0.55
2015-10-07 00:00:00-04:00,0.565
2016-01-06 00:00:00-05:00,0.565
2016-04-06 00:00:00-04:00,0.565
2016-07-06 00:00:00-04:00,0.565
2016-10-05 00:00:00-04:00,0.578
2017-01-06 00:00:00-05:00,0.578
2017-04-06 00:00:00-04:00,0.578
2017-07-06 00:00:00-04:00,0.578
2017-10-06 00:00:00-04:00,0.59
2018-01-09 00:00:00-05:00,0.59
2018-04-09 00:00:00-04:00,0.59
2018-07-09 00:00:00-04:00,0.59
2018-10-09 00:00:00-04:00,0.603
2019-01-09 00:00:00-05:00,0.603
2019-04-09 00:00:00-04:00,0.603
2019-07-09 00:00:00-04:00,0.603
2019-10-09 00:00:00-04:00,0.615
2020-01-09 00:00:00-05:00,0.615
2020-04-09 00:00:00-04:00,0.615
2020-07-09 00:00:00-04:00,0.615
2020-10-08 00:00:00-04:00,0.628
2021-01-07 00:00:00-05:00,0.628
2021-04-08 00:00:00-04:00,0.628
2021-07-08 00:00:00-04:00,0.628
2021-10-07 00:00:00-04:00,0.64
2022-01-07 00:00:00-05:00,0.64
2022-04-07 00:00:00-04:00,0.64
2022-07-07 00:00:00-04:00,0.64
2022-10-06 00:00:00-04:00,0.653
2023-01-09 00:00:00-05:00,0.653
2023-04-06 00:00:00-04:00,0.653
2023-07-07 00:00:00-04:00,0.653
2023-10-06 00:00:00-04:00,0.665
2024-01-09 00:00:00-05:00,0.665
2024-04-09 00:00:00-04:00,0.665
2024-07-10 00:00:00-04:00,0.665
2024-10-10 00:00:00-04:00,0.678
