Date,Dividend
1993-03-22 00:00:00-05:00,0.00126
1993-06-21 00:00:00-04:00,0.00126
1993-09-23 00:00:00-04:00,0.00126
1993-12-13 00:00:00-05:00,0.00126
1994-03-17 00:00:00-05:00,0.00126
1994-06-20 00:00:00-04:00,0.00126
1994-09-20 00:00:00-04:00,0.00126
1994-12-12 00:00:00-05:00,0.00168
1995-03-21 00:00:00-05:00,0.00168
1995-06-28 00:00:00-04:00,0.00168
1995-09-26 00:00:00-04:00,0.00168
1995-12-26 00:00:00-05:00,0.00168
1996-03-20 00:00:00-05:00,0.00168
1996-06-25 00:00:00-04:00,0.002436
1996-09-25 00:00:00-04:00,0.0021
1996-12-24 00:00:00-05:00,0.0021
1997-03-19 00:00:00-05:00,0.0021
1997-06-25 00:00:00-04:00,0.0021
1997-09-24 00:00:00-04:00,0.0021
1997-12-23 00:00:00-05:00,0.0021
1998-03-18 00:00:00-05:00,0.0021
1998-06-24 00:00:00-04:00,0.002016
1998-09-23 00:00:00-04:00,0.00252
1998-12-22 00:00:00-05:00,0.00252
1999-03-24 00:00:00-05:00,0.00252
1999-06-23 00:00:00-04:00,0.002688
1999-09-22 00:00:00-04:00,0.00252
1999-12-29 00:00:00-05:00,0.00252
2000-03-29 00:00:00-05:00,0.00252
2000-06-28 00:00:00-04:00,0.00252
2000-09-27 00:00:00-04:00,0.003361
2000-12-27 00:00:00-05:00,0.003361
2001-03-28 00:00:00-05:00,0.003361
2001-06-27 00:00:00-04:00,0.003361
2001-09-26 00:00:00-04:00,0.003361
2001-12-26 00:00:00-05:00,0.003361
2002-03-26 00:00:00-05:00,0.003361
2002-06-26 00:00:00-04:00,0.003361
2002-09-25 00:00:00-04:00,0.004201
2002-12-24 00:00:00-05:00,0.004201
2003-03-26 00:00:00-05:00,0.004201
2003-06-25 00:00:00-04:00,0.004201
2003-09-24 00:00:00-04:00,0.004201
2003-12-23 00:00:00-05:00,0.001008
2004-03-24 00:00:00-05:00,0.004201
2004-06-23 00:00:00-04:00,0.005041
2004-09-22 00:00:00-04:00,0.005041
2004-12-29 00:00:00-05:00,0.005041
2005-03-22 00:00:00-05:00,0.005041
2005-06-22 00:00:00-04:00,0.005041
2005-09-28 00:00:00-04:00,0.006721
2005-12-28 00:00:00-05:00,0.006721
2006-03-29 00:00:00-05:00,0.006721
2006-06-28 00:00:00-04:00,0.006721
2006-09-27 00:00:00-04:00,0.006721
2006-12-27 00:00:00-05:00,0.006721
2007-03-28 00:00:00-04:00,0.006721
2007-06-27 00:00:00-04:00,0.010082
2007-09-26 00:00:00-04:00,0.010082
2007-12-27 00:00:00-05:00,0.010082
2008-03-26 00:00:00-04:00,0.010082
2008-06-25 00:00:00-04:00,0.010082
2008-09-24 00:00:00-04:00,0.010082
2008-12-23 00:00:00-05:00,0.010082
2009-03-25 00:00:00-04:00,0.010082
2009-06-24 00:00:00-04:00,0.010082
2009-09-23 00:00:00-04:00,0.010082
2009-12-29 00:00:00-05:00,0.013442
2010-03-24 00:00:00-04:00,0.013442
2010-06-23 00:00:00-04:00,0.013442
2010-09-22 00:00:00-04:00,0.013442
2010-12-29 00:00:00-05:00,0.013442
2011-03-23 00:00:00-04:00,0.013442
2011-06-22 00:00:00-04:00,0.013442
2011-09-28 00:00:00-04:00,0.016803
2011-12-28 00:00:00-05:00,0.016803
2012-03-28 00:00:00-04:00,0.016803
2012-06-27 00:00:00-04:00,0.016803
2012-09-26 00:00:00-04:00,0.016803
2012-12-12 00:00:00-05:00,0.016803
2013-03-26 00:00:00-04:00,0.016803
2013-06-26 00:00:00-04:00,0.016803
2013-09-25 00:00:00-04:00,0.016803
2013-12-26 00:00:00-05:00,0.016803
2014-03-26 00:00:00-04:00,0.067212
2014-06-25 00:00:00-04:00,0.067212
2014-09-24 00:00:00-04:00,0.067212
2014-12-23 00:00:00-05:00,0.067212
2015-03-25 00:00:00-04:00,0.090736
2015-06-24 00:00:00-04:00,0.090736
2015-09-30 00:00:00-04:00,0.090736
2015-12-17 00:00:00-05:00,0.090736
2016-03-22 00:00:00-04:00,0.107539
2016-06-01 00:00:00-04:00,0.107539
2016-07-05 00:00:00-04:00,24.56
2016-09-28 00:00:00-04:00,0.110816
2016-12-28 00:00:00-05:00,0.110816
2017-03-29 00:00:00-04:00,0.124113
2017-06-28 00:00:00-04:00,0.124113
2017-09-28 00:00:00-04:00,0.124113
2017-12-28 00:00:00-05:00,0.124113
2018-03-28 00:00:00-04:00,0.141844
2018-06-28 00:00:00-04:00,0.141844
2018-09-27 00:00:00-04:00,0.141844
2018-12-27 00:00:00-05:00,0.141844
2019-03-28 00:00:00-04:00,0.150709
2019-06-27 00:00:00-04:00,0.150709
2019-09-26 00:00:00-04:00,0.150709
2019-12-26 00:00:00-05:00,0.150709
2020-03-26 00:00:00-04:00,0.159574
2020-06-25 00:00:00-04:00,0.159574
2020-09-25 00:00:00-04:00,0.159574
2020-12-24 00:00:00-05:00,0.159574
2021-03-25 00:00:00-04:00,0.18617
2021-06-24 00:00:00-04:00,0.18617
2021-09-29 00:00:00-04:00,0.18617
2021-12-29 00:00:00-05:00,0.18617
2022-03-24 00:00:00-04:00,0.221631
2022-06-23 00:00:00-04:00,0.221631
2022-09-29 00:00:00-04:00,0.221631
2022-12-29 00:00:00-05:00,0.221631
2023-03-30 00:00:00-04:00,0.239362
2023-06-29 00:00:00-04:00,0.239362
2023-10-11 00:00:00-04:00,0.27
2023-12-28 00:00:00-05:00,0.24
2024-03-27 00:00:00-04:00,0.27
2024-06-28 00:00:00-04:00,0.27
2024-09-27 00:00:00-04:00,0.27
