Date,Dividend
1994-04-26 00:00:00-04:00,0.26
1994-07-18 00:00:00-04:00,0.45
1994-10-18 00:00:00-04:00,0.45
1995-01-17 00:00:00-05:00,0.5
1995-04-17 00:00:00-04:00,0.5
1995-06-27 00:00:00-04:00,0.5
1995-10-20 00:00:00-04:00,0.5
1996-01-22 00:00:00-05:00,0.51
1996-04-19 00:00:00-04:00,0.51
1996-07-22 00:00:00-04:00,0.51
1996-10-22 00:00:00-04:00,0.51
1997-01-22 00:00:00-05:00,0.535
1997-04-21 00:00:00-04:00,0.535
1997-07-22 00:00:00-04:00,0.535
1997-10-22 00:00:00-04:00,0.535
1998-01-21 00:00:00-05:00,0.55
1998-04-21 00:00:00-04:00,0.55
1998-07-22 00:00:00-04:00,0.55
1998-10-21 00:00:00-04:00,0.55
1999-01-20 00:00:00-05:00,0.575
1999-04-21 00:00:00-04:00,0.575
1999-07-21 00:00:00-04:00,0.575
1999-10-20 00:00:00-04:00,0.575
2000-01-20 00:00:00-05:00,0.58
2000-04-18 00:00:00-04:00,0.58
2000-07-20 00:00:00-04:00,0.58
2000-10-20 00:00:00-04:00,0.58
2001-01-22 00:00:00-05:00,0.585
2001-04-19 00:00:00-04:00,0.585
2001-07-20 00:00:00-04:00,0.585
2001-10-22 00:00:00-04:00,0.585
2002-01-22 00:00:00-05:00,0.585
2002-04-19 00:00:00-04:00,0.585
2002-07-22 00:00:00-04:00,0.585
2002-10-22 00:00:00-04:00,0.585
2003-01-22 00:00:00-05:00,0.585
2003-04-22 00:00:00-04:00,0.585
2003-07-22 00:00:00-04:00,0.585
2003-10-22 00:00:00-04:00,0.585
2004-01-21 00:00:00-05:00,0.585
2004-04-21 00:00:00-04:00,0.585
2004-07-21 00:00:00-04:00,0.585
2004-10-20 00:00:00-04:00,0.585
2005-01-20 00:00:00-05:00,0.585
2005-04-15 00:00:00-04:00,0.585
2005-07-15 00:00:00-04:00,0.585
2005-10-17 00:00:00-04:00,0.595
2006-01-18 00:00:00-05:00,0.595
2006-04-18 00:00:00-04:00,0.595
2006-07-18 00:00:00-04:00,0.595
2006-10-18 00:00:00-04:00,0.595
2007-01-10 00:00:00-05:00,0.605
2007-04-11 00:00:00-04:00,0.605
2007-07-12 00:00:00-04:00,0.605
2007-10-11 00:00:00-04:00,0.605
2008-01-11 00:00:00-05:00,0.615
2008-04-11 00:00:00-04:00,0.615
2008-07-11 00:00:00-04:00,0.615
2008-10-10 00:00:00-04:00,0.615
2009-01-13 00:00:00-05:00,0.615
2009-04-13 00:00:00-04:00,0.615
2009-07-13 00:00:00-04:00,0.615
2009-10-13 00:00:00-04:00,0.615
2010-01-13 00:00:00-05:00,0.615
2010-04-13 00:00:00-04:00,0.615
2010-07-13 00:00:00-04:00,0.615
2010-10-13 00:00:00-04:00,0.615
2011-01-12 00:00:00-05:00,0.628
2011-04-13 00:00:00-04:00,0.628
2011-07-13 00:00:00-04:00,0.628
2011-10-12 00:00:00-04:00,0.628
2012-01-11 00:00:00-05:00,0.66
2012-04-11 00:00:00-04:00,0.66
2012-07-11 00:00:00-04:00,0.66
2012-10-11 00:00:00-04:00,0.66
2013-01-11 00:00:00-05:00,0.695
2013-04-11 00:00:00-04:00,0.695
2013-07-11 00:00:00-04:00,0.695
2013-10-10 00:00:00-04:00,0.695
2014-01-13 00:00:00-05:00,0.73
2014-04-11 00:00:00-04:00,0.73
2014-07-11 00:00:00-04:00,0.73
2014-10-10 00:00:00-04:00,0.73
2015-01-13 00:00:00-05:00,0.77
2015-04-13 00:00:00-04:00,0.77
2015-07-13 00:00:00-04:00,0.77
2015-10-13 00:00:00-04:00,0.77
2016-01-13 00:00:00-05:00,0.82
2016-04-13 00:00:00-04:00,0.82
2016-07-13 00:00:00-04:00,0.82
2016-10-12 00:00:00-04:00,0.82
2017-01-11 00:00:00-05:00,0.87
2017-04-11 00:00:00-04:00,0.87
2017-07-12 00:00:00-04:00,0.87
2017-10-12 00:00:00-04:00,0.87
2018-01-11 00:00:00-05:00,0.923
2018-04-12 00:00:00-04:00,0.923
2018-07-12 00:00:00-04:00,0.923
2018-10-12 00:00:00-04:00,0.923
2019-01-14 00:00:00-05:00,0.96
2019-04-12 00:00:00-04:00,0.96
2019-07-12 00:00:00-04:00,0.96
2019-10-11 00:00:00-04:00,0.96
2020-01-14 00:00:00-05:00,1.0
2020-04-14 00:00:00-04:00,1.0
2020-07-14 00:00:00-04:00,1.0
2020-10-14 00:00:00-04:00,1.0
2021-01-14 00:00:00-05:00,1.025
2021-04-14 00:00:00-04:00,1.025
2021-07-14 00:00:00-04:00,1.025
2021-10-14 00:00:00-04:00,1.025
2022-01-13 00:00:00-05:00,1.088
2022-04-13 00:00:00-04:00,1.088
2022-07-14 00:00:00-04:00,1.25
2022-10-13 00:00:00-04:00,1.25
2023-01-12 00:00:00-05:00,1.4
2023-04-13 00:00:00-04:00,1.4
2023-07-13 00:00:00-04:00,1.4
2023-10-12 00:00:00-04:00,1.4
2024-01-11 00:00:00-05:00,1.47
2024-04-12 00:00:00-04:00,1.47
2024-07-15 00:00:00-04:00,1.47
2024-10-15 00:00:00-04:00,1.47
