Date,Dividend
1987-07-27 00:00:00-04:00,0.004375
1987-10-26 00:00:00-05:00,0.004375
1988-01-25 00:00:00-05:00,0.005
1988-04-25 00:00:00-04:00,0.005
1988-07-25 00:00:00-04:00,0.005
1988-10-24 00:00:00-04:00,0.005
1989-01-23 00:00:00-05:00,0.005625
1989-04-24 00:00:00-04:00,0.005625
1989-07-24 00:00:00-04:00,0.005625
1989-10-23 00:00:00-04:00,0.00625
1990-01-22 00:00:00-05:00,0.00625
1990-04-23 00:00:00-04:00,0.00625
1990-07-23 00:00:00-04:00,0.00625
1990-10-22 00:00:00-04:00,0.00625
1991-01-18 00:00:00-05:00,0.00875
1991-04-22 00:00:00-04:00,0.00875
1991-07-22 00:00:00-04:00,0.00875
1991-10-21 00:00:00-04:00,0.00875
1992-01-27 00:00:00-05:00,0.0125
1992-04-20 00:00:00-04:00,0.0125
1992-07-27 00:00:00-04:00,0.015
1992-10-26 00:00:00-05:00,0.015
1993-01-25 00:00:00-05:00,0.0175
1993-04-26 00:00:00-04:00,0.0175
1993-07-26 00:00:00-04:00,0.0175
1993-10-25 00:00:00-04:00,0.0175
1994-01-24 00:00:00-05:00,0.0225
1994-04-25 00:00:00-04:00,0.0225
1994-07-25 00:00:00-04:00,0.0225
1994-10-24 00:00:00-04:00,0.0225
1995-01-23 00:00:00-05:00,0.0275
1995-04-24 00:00:00-04:00,0.0275
1995-07-26 00:00:00-04:00,0.0275
1995-10-25 00:00:00-04:00,0.0275
1996-01-24 00:00:00-05:00,0.0325
1996-04-02 00:00:00-05:00,0.0325
1996-07-02 00:00:00-04:00,0.0325
1996-10-02 00:00:00-04:00,0.0325
1996-12-31 00:00:00-05:00,0.0375
1997-04-02 00:00:00-05:00,0.0375
1997-07-01 00:00:00-04:00,0.0375
1997-10-01 00:00:00-04:00,0.0375
1997-12-30 00:00:00-05:00,0.0425
1998-04-01 00:00:00-05:00,0.045
1998-06-30 00:00:00-04:00,0.045
1998-09-30 00:00:00-04:00,0.045
1998-12-29 00:00:00-05:00,0.05
1999-03-30 00:00:00-05:00,0.05
1999-06-30 00:00:00-04:00,0.05
1999-09-29 00:00:00-04:00,0.05
2000-01-05 00:00:00-05:00,0.06
2000-04-05 00:00:00-04:00,0.06
2000-07-05 00:00:00-04:00,0.06
2000-10-04 00:00:00-04:00,0.06
2001-01-03 00:00:00-05:00,0.07
2001-04-04 00:00:00-04:00,0.07
2001-07-03 00:00:00-04:00,0.07
2001-10-03 00:00:00-04:00,0.07
2002-01-02 00:00:00-05:00,0.09
2002-04-03 00:00:00-05:00,0.09
2002-07-02 00:00:00-04:00,0.09
2002-10-02 00:00:00-04:00,0.09
2002-12-31 00:00:00-05:00,0.11
2003-04-02 00:00:00-05:00,0.11
2003-07-01 00:00:00-04:00,0.11
2003-10-01 00:00:00-04:00,0.11
2003-12-30 00:00:00-05:00,0.13
2004-03-31 00:00:00-05:00,0.13
2004-06-30 00:00:00-04:00,0.13
2004-09-29 00:00:00-04:00,0.13
2005-01-05 00:00:00-05:00,0.15
2005-03-30 00:00:00-05:00,0.15
2005-06-29 00:00:00-04:00,0.15
2005-10-05 00:00:00-04:00,0.15
2006-01-04 00:00:00-05:00,0.17
2006-04-05 00:00:00-04:00,0.17
2006-07-05 00:00:00-04:00,0.17
2006-10-04 00:00:00-04:00,0.17
2007-01-03 00:00:00-05:00,0.19
2007-04-03 00:00:00-04:00,0.19
2007-07-03 00:00:00-04:00,0.19
2007-10-03 00:00:00-04:00,0.19
2008-01-02 00:00:00-05:00,0.22
2008-04-02 00:00:00-04:00,0.22
2008-07-01 00:00:00-04:00,0.22
2008-10-01 00:00:00-04:00,0.22
2008-12-30 00:00:00-05:00,0.24
2009-04-01 00:00:00-04:00,0.24
2009-06-30 00:00:00-04:00,0.24
2009-10-06 00:00:00-04:00,0.24
2009-12-29 00:00:00-05:00,0.25
2010-03-30 00:00:00-04:00,0.25
2010-06-30 00:00:00-04:00,0.25
2010-09-29 00:00:00-04:00,0.25
2011-01-05 00:00:00-05:00,0.26
2011-03-30 00:00:00-04:00,0.26
2011-06-29 00:00:00-04:00,0.26
2011-10-05 00:00:00-04:00,0.26
2012-01-04 00:00:00-05:00,0.27
2012-04-03 00:00:00-04:00,0.27
2012-07-03 00:00:00-04:00,0.27
2012-10-03 00:00:00-04:00,0.27
2013-01-02 00:00:00-05:00,0.28
2013-04-03 00:00:00-04:00,0.28
2013-07-02 00:00:00-04:00,0.28
2013-10-02 00:00:00-04:00,0.28
2013-12-31 00:00:00-05:00,0.29
2014-04-02 00:00:00-04:00,0.29
2014-07-01 00:00:00-04:00,0.29
2014-10-01 00:00:00-04:00,0.29
2014-12-30 00:00:00-05:00,0.3
2015-03-31 00:00:00-04:00,0.3
2015-06-30 00:00:00-04:00,0.3
2015-09-30 00:00:00-04:00,0.3
2016-01-06 00:00:00-05:00,0.31
2016-03-30 00:00:00-04:00,0.31
2016-06-29 00:00:00-04:00,0.31
2016-10-05 00:00:00-04:00,0.31
2017-01-04 00:00:00-05:00,0.33
2017-04-05 00:00:00-04:00,0.33
2017-07-05 00:00:00-04:00,0.33
2017-10-05 00:00:00-04:00,0.33
2018-01-04 00:00:00-05:00,0.36
2018-04-05 00:00:00-04:00,0.36
2018-07-05 00:00:00-04:00,0.36
2018-10-04 00:00:00-04:00,0.36
2019-01-03 00:00:00-05:00,0.39
2019-04-04 00:00:00-04:00,0.39
2019-07-03 00:00:00-04:00,0.39
2019-10-03 00:00:00-04:00,0.39
2020-01-02 00:00:00-05:00,0.45
2020-04-02 00:00:00-04:00,0.45
2020-07-01 00:00:00-04:00,0.45
2020-10-01 00:00:00-04:00,0.45
2021-01-07 00:00:00-05:00,0.45
2021-03-31 00:00:00-04:00,0.45
2021-07-01 00:00:00-04:00,0.47
2021-09-30 00:00:00-04:00,0.47
2022-01-06 00:00:00-05:00,0.47
2022-03-31 00:00:00-04:00,0.47
2022-06-30 00:00:00-04:00,0.49
2022-10-06 00:00:00-04:00,0.49
2023-01-05 00:00:00-05:00,0.49
2023-04-05 00:00:00-04:00,0.49
2023-07-06 00:00:00-04:00,0.5
2023-10-05 00:00:00-04:00,0.5
2024-01-04 00:00:00-05:00,0.5
2024-04-04 00:00:00-04:00,0.5
2024-07-05 00:00:00-04:00,0.51
2024-10-04 00:00:00-04:00,0.51
